16.7,0.5,16.9,0.5,16.8,0.4,16.8,0.5,16.7,0.4,
13.7,0.6,26.2,0.8,12.3,0.4,12.7,0.5,15.3,0.5,
58.5,4.3,56.3,4.4,54.1,4.9,54.5,4.0,56.3,4.2,
31.3,0.7,29.4,0.5,27.4,0.5,26.7,0.5,33.0,0.8,
75.9,9.1,70.6,6.6,83.4,7.8,81.8,7.8,80.3,4.5,
49.8,3.6,50.1,3.5,49.0,3.2,48.6,4.0,49.1,3.7,
52.2,4.8,53.9,3.3,53.1,4.4,55.6,2.7,52.4,3.0,
48.9,3.8,47.5,2.6,47.3,2.7,47.7,2.9,51.9,3.2,
68.2,2.4,59.3,2.0,61.1,2.0,67.4,2.1,70.1,2.5,
42.0,2.8,44.8,2.0,46.6,2.8,46.6,2.3,55.1,3.0,
65.5,3.0,68.0,5.0,67.7,3.9,68.9,4.1,66.0,3.7,
11.2,0.6,13.5,0.4,10.3,0.3,11.4,0.4,13.6,0.7,
26.6,0.4,27.3,0.3,27.1,0.3,27.2,0.3,26.6,0.2,
33.4,0.5,48.4,0.6,31.8,0.6,31.9,0.8,35.9,0.7,
73.6,2.0,70.8,1.7,68.8,2.1,70.1,1.8,72.4,2.0,
72.0,0.4,71.5,0.4,70.7,0.3,70.4,0.4,73.1,0.6,
81.2,6.1,76.0,3.9,88.4,3.7,89.1,4.4,85.4,3.1,
69.1,1.6,69.2,1.6,68.1,1.9,68.4,2.1,68.7,1.8,
47.9,2.2,49.8,1.4,49.6,1.7,51.3,1.3,50.5,1.4,
70.5,2.0,68.0,1.8,69.6,1.6,69.5,1.8,71.9,2.1,
88.5,0.9,81.1,0.8,83.9,0.8,86.9,0.8,89.2,0.8,
62.8,1.8,62.5,1.6,64.5,1.7,65.1,1.9,72.2,1.6,
60.8,1.2,62.2,2.1,62.4,1.5,63.8,1.2,60.8,1.5,
17.5,0.9,23.3,0.7,16.6,0.6,18.7,0.5,23.6,0.7,
